"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2006","28.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2007","28.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2008","28.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2009","28.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2010","28.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2011","29.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2012","29.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2013","29.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2014","29.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2015","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2016","29.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2017","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2018","29.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2019","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","070","BIH","Bosnia and Herzegovina","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2005","29.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2006","29.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","100","BGR","Bulgaria","2007","29.0",
