"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2016","26.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2017","26.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2018","26.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","112","BLR","Беларусь","2019","26.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2005","27.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2006","27.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2007","27.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2008","27.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2009","28.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2010","28.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2011","28.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2012","28.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2013","28.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2014","28.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2015","28.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2016","28.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2017","29.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2018","29.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","056","BEL","Бельгия","2019","29.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2005","24.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2006","24.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2007","25.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2008","25.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2009","25.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2010","25.6",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2011","25.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2012","25.6",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2013","25.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2014","25.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2015","26.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2016","26.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2017","26.1",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2018","26.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","100","BGR","Болгария","2019","26.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2005","24.4",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2006","24.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2007","24.8",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2008","24.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2009","25.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2010","25.9",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2011","26.3",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2012","26.5",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2013","26.7",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2014","27.0",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2015","27.2",
"34","Средний возраст женщины при рождении первого ребенка","Средний возраст женщины при рождении первого ребенка","Лет","070","BIH","Босния и Герцеговина","2016","27.0",
